ratio,size_A,mode,mean_eta2,mean_maxrun
1.0,8,random,0.0915,2.87
1.0,8,blocked,0.0019,1.86
1.0,8,blocked_uniform,0.0018,1.866
1.5,12,random,0.0837,3.12
1.5,12,blocked,0.0754,4.282
1.5,12,blocked_uniform,0.002,1.924
2.0,16,random,0.0774,3.652
2.0,16,blocked,0.1815,8.262
2.0,16,blocked_uniform,0.0036,2.358
2.5,20,random,0.067,4.272
2.5,20,blocked,0.2686,12.232
2.5,20,blocked_uniform,0.0047,2.9
3.0,24,random,0.0574,4.864
3.0,24,blocked,0.334,16.208
3.0,24,blocked_uniform,0.0057,3.348
3.5,28,random,0.0601,5.524
3.5,28,blocked,0.3812,20.242
3.5,28,blocked_uniform,0.0062,3.91
4.0,32,random,0.0528,6.058
4.0,32,blocked,0.4138,24.222
4.0,32,blocked_uniform,0.0067,4.344
4.5,36,random,0.0524,6.898
4.5,36,blocked,0.4359,28.244
4.5,36,blocked_uniform,0.0069,4.888
5.0,40,random,0.0465,7.276
5.0,40,blocked,0.45,32.244
5.0,40,blocked_uniform,0.0072,5.384
