sample_name,sample_id,tube_id,container_id,grouping_var
C50001_01_case,300001,50001/1,50001,case
C50001_02_case,300002,50001/2,50001,case
C50001_03_case,300003,50001/3,50001,case
C50001_04_case,300004,50001/4,50001,case
C50001_05_control,300005,50001/5,50001,control
C50001_06_control,300006,50001/6,50001,control
C50001_07_control,300007,50001/7,50001,control
C50001_08_control,300008,50001/8,50001,control
C50002_01,300009,50002/1,50002,
C50002_02,300010,50002/2,50002,
C50002_03,300011,50002/3,50002,
C50002_04,300012,50002/4,50002,
C50002_05,300013,50002/5,50002,
C50002_06,300014,50002/6,50002,
C50003_01_g1,300015,50003/1,50003,g1
C50003_02_g1,300016,50003/2,50003,g1
C50003_03_g1,300017,50003/3,50003,g1
C50003_04_g1,300018,50003/4,50003,g1
C50003_05_g2,300019,50003/5,50003,g2
C50003_06_g2,300020,50003/6,50003,g2
C50003_07_g2,300021,50003/7,50003,g2
C50003_08_g2,300022,50003/8,50003,g2
C50003_09_g3,300023,50003/9,50003,g3
C50003_10_g3,300024,50003/10,50003,g3
C50003_11_g3,300025,50003/11,50003,g3
C50003_12_g3,300026,50003/12,50003,g3
C50003_13_g4,300027,50003/13,50003,g4
C50003_14_g4,300028,50003/14,50003,g4
C50003_15_g4,300029,50003/15,50003,g4
C50003_16_g4,300030,50003/16,50003,g4
